DATE,TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
1/2/2013,631,145.11,145.28,145.11,145.15,2213166
1/2/2013,632,145.16,145.25,145.15,145.24,532481
1/2/2013,633,145.23,145.24,145.16,145.17,595364
1/2/2013,634,145.17,145.2,145.09,145.16,684532
1/2/2013,635,145.17,145.25,145.14,145.24,910071
1/2/2013,636,145.25,145.38,145.22,145.36,1028990
1/2/2013,637,145.36,145.39,145.29,145.3,641427
1/2/2013,638,145.3,145.33,145.21,145.24,623821
1/2/2013,639,145.24,145.29,145.22,145.25,467537
1/2/2013,640,145.26,145.28,145.25,145.26,376749
1/2/2013,641,145.25,145.3,145.14,145.18,404321
1/2/2013,642,145.17,145.24,145.14,145.2,414545
1/2/2013,643,145.21,145.23,145.12,145.14,452510
1/2/2013,644,145.14,145.14,145.04,145.05,235151
1/2/2013,645,145.05,145.09,144.94,144.98,785944
1/2/2013,646,144.98,145.05,144.94,145.05,614778
1/2/2013,647,145.04,145.07,145.01,145.06,478684
1/2/2013,648,145.06,145.09,145,145.07,615958
1/2/2013,649,145.07,145.15,145.06,145.15,408587
4/30/2014,1244,188.33,188.41,188.32,188.38,105649
4/30/2014,1245,188.38,188.45,188.36,188.45,181697
4/30/2014,1246,188.44,188.45,188.26,188.33,163090
4/30/2014,1247,188.33,188.37,188.19,188.19,190382
4/30/2014,1248,188.19,188.24,188.07,188.07,166349
4/30/2014,1249,188.07,188.22,188.03,188.21,234678
4/30/2014,1250,188.2,188.22,188.19,188.22,149376
4/30/2014,1251,188.22,188.29,188.21,188.27,170597
4/30/2014,1252,188.27,188.28,188.24,188.26,123804
4/30/2014,1253,188.26,188.31,188.22,188.31,134521
4/30/2014,1254,188.31,188.32,188.25,188.29,135716
4/30/2014,1255,188.31,188.35,188.28,188.3,156070
4/30/2014,1256,188.3,188.35,188.26,188.29,282900
4/30/2014,1257,188.3,188.42,188.3,188.41,408679
4/30/2014,1258,188.41,188.42,188.34,188.34,363038
4/30/2014,1259,188.34,188.35,188.21,188.23,421158
2/23/2015,702,210.71,210.77,210.67,210.72,88625
2/23/2015,703,210.71,210.72,210.61,210.66,74616
2/23/2015,704,210.65,210.78,210.65,210.78,94264
2/23/2015,705,210.77,210.8,210.72,210.79,63670
2/23/2015,706,210.79,210.85,210.76,210.78,121533
2/23/2015,707,210.78,210.81,210.76,210.78,47079
2/23/2015,708,210.79,210.84,210.73,210.75,22648
2/23/2015,709,210.75,210.85,210.72,210.74,182512
2/23/2015,710,210.74,210.77,210.68,210.74,56451
2/23/2015,711,210.73,210.78,210.73,210.77,40229
2/23/2015,712,210.76,210.78,210.72,210.72,42825
2/23/2015,713,210.72,210.79,210.69,210.71,36679
